#	type	pattern	pilot	lemma	freq
126	T	A N	1D convolution	1d convolution	14
538	T	A	acoustic	acoustic	136
224	T	N N	Adam optimizer	adam optimizer	9
675	T	A A N	adaptive cepstral analysis	adaptive cepstral analysis	4
276	T	N N	adversarial loss	adversarial loss	8
136	T	N P N	amount of data	amount of datum	13
1345	T	N	ASR	asr	
85	T	N N	attention alignments	attention alignment	19
122	T	N N	attention block	attention block	14
179	T	N N	attention errors	attention error	11
93	T	N N	attention mechanism	attention mechanism	18
222	T	A	audio	audio	189
241	T	A N	audio data	audio datum	9
73	T	A N	audio quality	audio quality	22
267	T	A N	audio samples	audio sample	8
177	T	A N	audio signal	audio signal	11
429	T	A N N	audio synthesis model	audio synthesis model	11
228	T	N N	audiobook data	audiobook datum	9
231	T	A N N	automatic speech recognition	automatic speech recognition	9
100	T	N	autoregressive	autoregressive	
212	T	N N N	autoregressive Transformer TTS	autoregressive transformer tts	10
175	T	N N	background noise	background noise	11
113	T	N N	batch normalization	batch normalization	15
132	T	N N	batch size	batch size	14
221	T	N	Bi-LSTM	bi-lstm	19
104	T	N	BLSTM	blstm	17
75	T	N	byte	byte	21
118	T	N	CBHG	cbhg	15
427	T	A N	cepstral coefficients	cepstral coefficient	11
536	T	A N	cepstral features	cepstral feature	9
2729	T	N	ClariNet	clarinet	12
32	T	N	classifier	classifier	39
195	T	N	CMUDict	cmudict	20
540	T	N	code-switching	code-switching	13
298	T	N N	confidence intervals	confidence interval	8
843	T	A	context-independent	context-independent	15
1221	T	A N	context-independent phones	context-independent phone	10
12	T	N	convolution	convolution	63
291	T	N N	convolution block	convolution block	8
173	T	A N	convolutional layers	convolutional layer	23
428	T	A N	convolutional network	convolutional network	11
96	T	A A N	convolutional neural networks	convolutional neural network	18
6	T	N	corpus	corpus	93
348	T	N	cross-language	cross-language	20
296	T	N N	cross-language voice	cross-language voice	8
144	T	A N	cross-lingual adaptation	cross-lingual adaptation	13
485	T	A N	cross-lingual MLP	cross-lingual mlp	10
290	T	A N N	cross-lingual speaker adaptation	cross-lingual speaker adaptation	8
625	T	A N	cross-lingual voice	cross-lingual voice	8
